AH2011;Educação;Lazer;Negócios;Refeição;Saúde
18004;35.0;13.0;9.0;108.0;18.0
18005;22.0;2.0;6.0;79.0;7.0
18006;30.0;14.0;9.0;112.0;5.0
18007;10.0;3.0;5.0;21.0;2.0
18008;25.0;6.0;10.0;73.0;5.0
1801;49.0;11.0;13.0;82.0;1.0
18010;6.0;0.0;0.0;10.0;0.0
18011;19.0;4.0;5.0;47.0;4.0
18012;7.0;2.0;6.0;29.0;0.0
18013;0.0;0.0;0.0;2.0;0.0
18015;5.0;0.0;5.0;49.0;1.0
18016;3.0;0.0;1.0;18.0;0.0
18017;1.0;2.0;1.0;4.0;2.0
18018;2.0;0.0;0.0;1.0;1.0
18019;10.0;2.0;0.0;22.0;1.0
1802;25.0;10.0;4.0;108.0;0.0
18020;0.0;0.0;0.0;3.0;1.0
18021;0.0;0.0;1.0;6.0;0.0
18022;2.0;0.0;1.0;20.0;0.0
18023;0.0;0.0;0.0;5.0;0.0
18024;0.0;0.0;0.0;1.0;0.0
18025;7.0;2.0;1.0;20.0;0.0
18026;2.0;0.0;0.0;4.0;0.0
1803;4.0;1.0;2.0;4.0;2.0
1804;48.0;7.0;7.0;96.0;1.0
1805;44.0;12.0;14.0;175.0;5.0
1806;8.0;1.0;3.0;25.0;0.0
1807;39.0;12.0;2.0;56.0;1.0
1808;41.0;8.0;8.0;102.0;6.0
1809;117.0;30.0;40.0;403.0;19.0
1810;94.0;22.0;11.0;85.0;7.0
18101;53.0;12.0;13.0;222.0;2.0
18102;74.0;18.0;14.0;219.0;2.0
18103;71.0;17.0;4.0;262.0;0.0
18104;134.0;29.0;49.0;438.0;55.0
18105;55.0;7.0;17.0;201.0;10.0
18106;50.0;19.0;13.0;240.0;7.0
18107;29.0;9.0;3.0;21.0;4.0
18108;1.0;1.0;2.0;10.0;0.0
18109;17.0;1.0;4.0;52.0;18.0
1811;86.0;18.0;19.0;65.0;3.0
18110;5.0;5.0;1.0;23.0;0.0
18111;1.0;0.0;1.0;4.0;0.0
18112;32.0;10.0;5.0;72.0;2.0
18114;1.0;0.0;2.0;20.0;0.0
18116;3.0;1.0;3.0;48.0;1.0
18117;9.0;7.0;4.0;40.0;2.0
1812;30.0;12.0;9.0;114.0;6.0
1813;52.0;10.0;10.0;101.0;17.0
1814;61.0;6.0;23.0;146.0;10.0
1815;140.0;44.0;37.0;269.0;21.0
1816;99.0;24.0;22.0;304.0;12.0
1817;124.0;23.0;30.0;249.0;42.0
1818;28.0;9.0;5.0;73.0;0.0
1819;22.0;2.0;2.0;35.0;0.0
1820;16.0;4.0;1.0;74.0;0.0
1821;4.0;0.0;0.0;17.0;0.0
1822;37.0;7.0;7.0;88.0;3.0
1823;19.0;7.0;4.0;30.0;1.0
1824;3.0;2.0;0.0;20.0;0.0
1825;90.0;25.0;19.0;167.0;1.0
1826;122.0;23.0;21.0;393.0;12.0
1827;52.0;16.0;13.0;136.0;5.0
1828;98.0;26.0;26.0;232.0;12.0
1829;8.0;4.0;0.0;10.0;0.0
1830;21.0;5.0;6.0;224.0;0.0
1831;37.0;12.0;18.0;168.0;13.0
1832;0.0;0.0;0.0;2.0;0.0
1833;25.0;4.0;3.0;24.0;0.0
1834;28.0;3.0;5.0;19.0;1.0
1835;16.0;5.0;5.0;11.0;1.0
1836;10.0;2.0;5.0;9.0;0.0
1837;16.0;8.0;2.0;39.0;1.0
1838;44.0;5.0;7.0;121.0;3.0
1839;2.0;0.0;0.0;14.0;0.0
19101;4.0;1.0;1.0;7.0;0.0
19102;0.0;0.0;4.0;4.0;1.0
19103;3.0;1.0;1.0;10.0;2.0
19104;4.0;0.0;1.0;0.0;0.0
19105;6.0;0.0;2.0;18.0;1.0
19106;22.0;4.0;6.0;70.0;2.0
19107;3.0;2.0;5.0;19.0;2.0
19108;14.0;2.0;4.0;24.0;2.0
19109;24.0;9.0;20.0;50.0;3.0
19110;3.0;1.0;2.0;16.0;1.0
19111;12.0;1.0;0.0;11.0;0.0
2001;63.0;11.0;51.0;166.0;39.0
2002;85.0;7.0;53.0;146.0;80.0
2003;171.0;13.0;87.0;436.0;149.0
2004;23.0;3.0;6.0;56.0;4.0
2005;18.0;4.0;7.0;133.0;0.0
2006;142.0;25.0;32.0;394.0;16.0
2007;23.0;5.0;1.0;36.0;2.0
2008;78.0;9.0;7.0;147.0;3.0
2009;79.0;22.0;54.0;232.0;8.0
2010;46.0;4.0;11.0;54.0;2.0
2011;22.0;8.0;13.0;84.0;11.0
2012;142.0;24.0;41.0;365.0;13.0
2013;31.0;9.0;17.0;117.0;5.0
2014;73.0;28.0;21.0;259.0;3.0
2015;48.0;8.0;7.0;63.0;3.0
2016;87.0;24.0;34.0;319.0;7.0
2017;45.0;8.0;4.0;72.0;1.0
2018;108.0;30.0;19.0;212.0;5.0
2019;69.0;4.0;6.0;64.0;1.0
2020;24.0;4.0;6.0;28.0;0.0
20201;12.0;2.0;1.0;25.0;0.0
20202;31.0;10.0;20.0;109.0;8.0
20203;24.0;7.0;3.0;57.0;1.0
20205;6.0;4.0;1.0;35.0;1.0
20208;6.0;1.0;3.0;22.0;1.0
20209;38.0;3.0;0.0;30.0;1.0
2021;0.0;0.0;0.0;2.0;0.0
20210;4.0;3.0;0.0;5.0;0.0
2022;105.0;26.0;19.0;330.0;9.0
2023;46.0;13.0;12.0;101.0;2.0
2024;37.0;3.0;8.0;144.0;8.0
2025;71.0;11.0;9.0;160.0;13.0
2027;89.0;10.0;9.0;149.0;3.0
2028;4.0;1.0;19.0;43.0;0.0
2029;2.0;2.0;8.0;100.0;1.0
2030;0.0;0.0;2.0;3.0;0.0
2031;2.0;1.0;0.0;7.0;0.0
2032;13.0;1.0;1.0;14.0;0.0
2033;56.0;11.0;10.0;162.0;4.0
2034;16.0;4.0;2.0;34.0;8.0
2035;5.0;2.0;0.0;21.0;0.0
2036;16.0;2.0;2.0;67.0;2.0
2037;1.0;0.0;0.0;1.0;3.0
2038;13.0;5.0;2.0;47.0;2.0
2039;0.0;0.0;0.0;4.0;2.0
2040;102.0;20.0;24.0;254.0;2.0
2042;33.0;5.0;4.0;75.0;2.0
2043;2.0;0.0;2.0;15.0;0.0
2045;7.0;1.0;0.0;18.0;3.0
2046;6.0;1.0;1.0;37.0;3.0
2047;1.0;0.0;0.0;8.0;0.0
2048;9.0;1.0;0.0;16.0;2.0
2049;26.0;1.0;5.0;53.0;3.0
2050;48.0;11.0;5.0;126.0;5.0
2051;12.0;6.0;5.0;57.0;0.0
2052;8.0;1.0;1.0;4.0;2.0
2053;14.0;3.0;0.0;11.0;1.0
2054;4.0;0.0;1.0;3.0;3.0
2055;29.0;3.0;2.0;50.0;1.0
2056;2.0;0.0;0.0;5.0;0.0
2057;6.0;3.0;3.0;22.0;0.0
