,AH2011,Educação,Lazer,Negócios,Refeição,Saúde
1095,5313,111.0,16.0,24.0,234.0,14.0
1096,5314,85.0,19.0,26.0,136.0,7.0
1097,5315,102.0,18.0,22.0,295.0,9.0
1098,5316,78.0,8.0,20.0,309.0,14.0
1099,5317,54.0,9.0,20.0,95.0,2.0
1100,5318,105.0,10.0,41.0,282.0,14.0
1101,5319,49.0,6.0,16.0,123.0,0.0
1102,5320,17.0,2.0,8.0,43.0,1.0
1103,5321,83.0,8.0,20.0,130.0,36.0
1104,5322,22.0,4.0,2.0,37.0,6.0
1105,5323,165.0,14.0,42.0,231.0,82.0
1106,5324,24.0,5.0,12.0,59.0,4.0
1107,5325,185.0,17.0,84.0,539.0,95.0
1108,5326,68.0,14.0,35.0,186.0,22.0
1109,5327,41.0,5.0,5.0,66.0,8.0
1110,5328,5.0,0.0,3.0,44.0,0.0
1111,5329,55.0,12.0,17.0,131.0,2.0
1112,5330,77.0,15.0,54.0,304.0,6.0
1113,5331,57.0,11.0,11.0,153.0,7.0
1114,5332,15.0,3.0,5.0,81.0,6.0
1115,58001,11.0,0.0,5.0,11.0,0.0
1116,58002,9.0,4.0,14.0,59.0,2.0
1117,58003,3.0,0.0,0.0,11.0,0.0
1118,58004,0.0,1.0,1.0,12.0,0.0
1119,58005,1.0,1.0,1.0,11.0,0.0
1120,58006,0.0,0.0,0.0,1.0,0.0
1121,58101,5.0,0.0,1.0,11.0,0.0
1122,58102,0.0,0.0,0.0,6.0,0.0
1123,6001,22.0,9.0,25.0,104.0,5.0
1124,6002,12.0,1.0,6.0,23.0,5.0
1125,6003,3.0,2.0,0.0,12.0,0.0
1126,6004,22.0,4.0,14.0,34.0,9.0
1127,6005,3.0,1.0,1.0,18.0,1.0
1128,6006,1.0,0.0,1.0,9.0,0.0
1129,6007,1.0,1.0,0.0,3.0,0.0
1130,6008,0.0,0.0,1.0,3.0,0.0
1131,6009,0.0,0.0,0.0,2.0,0.0
1132,6010,1.0,0.0,1.0,5.0,0.0
1133,6011,2.0,0.0,1.0,4.0,0.0
1134,6012,2.0,0.0,0.0,5.0,0.0
1135,6014,18.0,4.0,6.0,58.0,2.0
1136,6015,29.0,5.0,3.0,66.0,5.0
1137,6016,22.0,2.0,4.0,39.0,1.0
1138,6017,2.0,1.0,0.0,7.0,1.0
1139,6018,23.0,4.0,1.0,51.0,0.0
1140,6019,4.0,0.0,0.0,5.0,0.0
1141,6020,0.0,0.0,1.0,1.0,0.0
1142,6022,0.0,0.0,2.0,7.0,0.0
1143,6023,4.0,1.0,2.0,10.0,0.0
1144,6101,0.0,1.0,5.0,19.0,1.0
1145,6102,5.0,2.0,1.0,24.0,3.0
1146,6103,8.0,0.0,3.0,28.0,1.0
1147,6104,9.0,3.0,6.0,39.0,3.0
1148,6105,1.0,0.0,0.0,10.0,1.0
1149,6201,2.0,1.0,0.0,12.0,0.0
1150,6202,0.0,0.0,0.0,7.0,0.0
1151,6203,1.0,0.0,0.0,7.0,0.0
1152,7001,28.0,3.0,6.0,53.0,4.0
1153,7002,28.0,2.0,30.0,92.0,13.0
1154,7003,45.0,12.0,9.0,149.0,4.0
1155,7004,45.0,19.0,13.0,122.0,1.0
1156,7005,8.0,1.0,1.0,11.0,0.0
1157,7006,72.0,9.0,17.0,182.0,5.0
1158,7007,4.0,0.0,2.0,16.0,0.0
1159,7008,45.0,11.0,7.0,101.0,6.0
1160,7009,24.0,6.0,1.0,51.0,0.0
1161,7010,1.0,0.0,0.0,1.0,0.0
1162,7011,10.0,1.0,0.0,11.0,0.0
1163,7012,1.0,1.0,3.0,7.0,0.0
1164,7013,7.0,3.0,4.0,35.0,1.0
1165,7014,29.0,4.0,11.0,39.0,6.0
1166,7111,15.0,2.0,3.0,66.0,2.0
1167,7112,56.0,7.0,17.0,231.0,4.0
1168,7113,78.0,11.0,12.0,168.0,2.0
1169,7114,40.0,8.0,10.0,109.0,2.0
1170,7115,10.0,3.0,2.0,43.0,0.0
1171,7117,17.0,5.0,1.0,69.0,1.0
1172,8001,71.0,11.0,38.0,245.0,154.0
1173,8002,20.0,2.0,12.0,71.0,0.0
1174,8003,7.0,2.0,2.0,23.0,1.0
1175,8004,0.0,0.0,1.0,5.0,0.0
1176,8005,6.0,1.0,0.0,22.0,1.0
1177,8006,21.0,5.0,5.0,83.0,2.0
1178,8007,1.0,0.0,0.0,1.0,0.0
1179,8009,9.0,1.0,1.0,10.0,0.0
1180,8010,11.0,2.0,7.0,44.0,0.0
1181,8011,16.0,6.0,4.0,78.0,4.0
1182,8012,1.0,0.0,1.0,11.0,0.0
1183,8013,3.0,0.0,1.0,6.0,0.0
1184,9101,24.0,7.0,23.0,142.0,17.0
1185,9102,2.0,0.0,0.0,9.0,2.0
1186,9103,16.0,4.0,7.0,74.0,4.0
1187,9104,0.0,1.0,0.0,11.0,2.0
1188,9105,5.0,1.0,1.0,17.0,2.0
1189,9106,4.0,0.0,1.0,20.0,2.0
1190,9108,0.0,0.0,0.0,3.0,0.0
1191,9109,3.0,0.0,1.0,7.0,0.0
1192,9111,2.0,0.0,1.0,5.0,0.0
1193,9113,1.0,0.0,1.0,14.0,0.0
1194,9114,7.0,0.0,1.0,15.0,0.0
1195,9115,3.0,2.0,2.0,3.0,0.0
1196,9201,5.0,1.0,1.0,12.0,0.0
1197,9202,1.0,0.0,2.0,5.0,0.0
1198,9204,0.0,0.0,1.0,5.0,0.0
