MOTIVO_VIAGEM,MOTIVOS_PRIMARIOS,HORARIO_INICIO_VIAGEM,TEMPO_ENTRE_EMBARQUES,TEMPO_DESLOCAMENTO,AH_ORIGEM,AH_DESTINO,ID_VIAGEM,QTD_VIAGENS_IND
Outros,Secundário,11.0,1.5,0.5,2013,2012,1,2
Negócios,Secundário,12.5,22.5,0.25,2012,2001,2,2
Outros,Secundário,11.0,1.5,0.5,2013,2012,1,2
Negócios,Secundário,12.5,19.5,0.25,2012,2001,2,2
Trabalho,Trabalho,8.0,11.0,0.5833333333333334,2013,2003,1,2
Residência,Residência,19.0,13.0,0.55,2003,2013,2,2
Escola,Escola,7.5,4.0,0.3333333333333333,2012,2003,1,4
Residência,Residência,11.5,7.0,0.5,2003,2012,2,4
Escola,Escola,18.5,3.5,0.3333333333333333,2012,2003,3,4
Residência,Residência,22.0,9.5,0.5,2003,2012,4,4
Trabalho,Trabalho,7.0,10.0,0.75,2012,2016,1,2
Residência,Residência,17.0,14.0,1.9166666666666667,2016,2012,2,2
Trabalho,Trabalho,4.666666666666667,11.0,2.1666666666666665,2012,5015,1,2
Residência,Residência,15.666666666666666,13.0,2.9166666666666665,5015,2012,2,2
Outros,Secundário,14.5,2.0,0.8333333333333334,2012,2002,1,2
Residência,Residência,16.5,22.0,0.9166666666666666,2002,2012,2,2
Negócios,Secundário,16.5,2.0,0.3833333333333333,2012,2003,1,2
Residência,Residência,18.5,22.0,0.9166666666666666,2003,2012,2,2
Trabalho,Trabalho,4.5,11.5,1.0,2012,5020,1,2
Residência,Residência,16.0,12.5,1.0,5020,2012,2,2
Trabalho,Trabalho,7.333333333333333,7.666666666666667,0.5,2012,2014,1,2
Residência,Residência,15.0,16.333333333333332,0.8333333333333334,2014,2012,2,2
Outros,Secundário,7.75,4.25,2.25,2012,1014,1,4
Residência,Residência,12.0,6.0,2.583333333333333,1014,2012,2,4
Escola,Escola,18.0,4.0,0.5,2012,2002,3,4
Residência,Residência,22.0,9.75,0.6666666666666666,2002,2012,4,4
Trabalho,Trabalho,7.0,13.0,0.6666666666666666,2012,2069,1,2
Residência,Residência,20.0,11.0,1.05,2069,2012,2,2
Escola,Escola,12.5,9.5,1.8333333333333333,2012,1355,1,2
Residência,Residência,22.0,14.5,1.55,1355,2012,2,2
Trabalho,Trabalho,5.666666666666667,13.333333333333334,1.0,2012,2016,1,2
Residência,Residência,19.0,10.666666666666666,1.6666666666666667,2016,2012,2,2
Residência,Residência,6.666666666666667,13.333333333333334,1.4166666666666667,5301,2012,1,2
Trabalho,Trabalho,20.0,10.666666666666666,1.3333333333333333,2012,5301,2,2
Trabalho,Trabalho,5.5,8.95,1.4166666666666667,2013,1067,1,2
Residência,Residência,14.45,14.55,1.4666666666666666,1067,2013,2,2
Trabalho,Trabalho,5.0,12.25,1.5,2013,5301,1,3
Escola,Escola,17.25,2.75,1.6666666666666667,5301,2014,2,3
Residência,Residência,20.0,9.0,1.0833333333333333,2014,2013,3,3
Saúde,Secundário,7.333333333333333,2.1666666666666665,0.8333333333333334,2008,2002,1,2
Residência,Residência,9.5,21.83333333333333,1.0,2002,2008,2,2
Escola,Escola,18.0,4.5,1.0,2033,2003,1,2
Residência,Residência,22.5,19.5,0.8333333333333334,2003,2033,2,2
Negócios,Secundário,9.5,1.8333333333333333,1.0,2068,2003,1,2
Residência,Residência,11.333333333333334,22.166666666666668,0.6666666666666666,2003,2068,2,2
Trabalho,Trabalho,6.5,6.5,0.5,2068,2022,1,2
Residência,Residência,13.0,17.5,0.5,2022,2068,2,2
Escola,Escola,7.0,12.0,0.5,2068,2006,1,2
Residência,Residência,19.0,12.0,0.5,2006,2068,2,2
Trabalho,Trabalho,6.0,11.0,1.0,2036,2005,1,2
Residência,Residência,17.0,13.0,1.0,2005,2036,2,2
Saúde,Secundário,15.0,2.0,0.5,2036,2009,1,2
Residência,Residência,17.0,22.0,0.5,2009,2036,2,2
Trabalho,Trabalho,11.666666666666666,5.333333333333333,1.0,2036,2040,1,2
Residência,Residência,17.0,18.666666666666668,1.6666666666666667,2040,2036,2,2
Trabalho,Trabalho,8.0,9.0,1.0,2073,2003,1,2
Residência,Residência,17.0,15.0,0.6666666666666666,2003,2073,2,2
Trabalho,Trabalho,7.0,11.0,1.0,2073,2003,1,2
Residência,Residência,18.0,13.0,1.0,2003,2073,2,2
Escola,Escola,18.0,4.0,1.0,2007,2002,1,2
Residência,Residência,22.0,20.0,0.6666666666666666,2002,2007,2,2
Trabalho,Trabalho,7.5,12.0,1.0,2036,2002,1,2
Residência,Residência,19.5,12.0,0.5,2002,2036,2,2
Trabalho,Trabalho,13.0,10.75,1.8333333333333333,2007,1409,1,2
Residência,Residência,23.75,13.25,1.4,1409,2007,2,2
Trabalho,Trabalho,8.0,10.5,0.5,2071,2002,1,2
Residência,Residência,18.5,13.5,0.5,2002,2071,2,2
Trabalho,Trabalho,8.5,13.5,0.5,2073,2002,1,2
Residência,Residência,22.0,10.5,0.5,2002,2073,2,2
Trabalho,Trabalho,9.0,6.0,1.1666666666666667,2073,2048,1,4
Residência,Residência,15.0,3.5,1.5,2048,2073,2,4
Escola,Escola,18.5,4.0,0.5,2073,2002,3,4
Residência,Residência,22.5,10.5,0.5,2002,2073,4,4
Trabalho,Trabalho,14.0,6.0,0.5,2073,2001,1,2
Residência,Residência,20.0,18.0,0.5,2001,2073,2,2
Escola,Escola,12.5,5.0,0.5,2073,2003,1,2
Residência,Residência,17.5,19.0,0.75,2003,2073,2,2
Lazer,Secundário,14.0,4.0,0.5,2073,2002,1,2
Residência,Residência,18.0,20.0,0.5,2002,2073,2,2
Trabalho,Trabalho,9.5,7.833333333333333,0.8333333333333334,18104,1525,1,2
Residência,Residência,17.333333333333332,16.166666666666668,1.3333333333333333,1525,18104,2,2
Trabalho,Trabalho,13.5,9.333333333333334,1.0,2042,5015,1,2
Residência,Residência,22.833333333333332,14.666666666666666,1.15,5015,2042,2,2
Saúde,Secundário,7.0,2.5,1.5,2042,2009,1,2
Residência,Residência,9.5,21.5,1.0,2009,2042,2,2
Outros,Secundário,10.0,1.5,1.1666666666666667,2042,5314,1,2
Residência,Residência,11.5,22.5,1.8333333333333333,5314,2042,2,2
Trabalho,Trabalho,5.833333333333333,11.5,1.0,2042,5015,1,2
Residência,Residência,17.333333333333332,12.5,1.75,5015,2042,2,2
Escola,Escola,14.0,1.3333333333333333,1.0,2024,5023,1,2
Residência,Residência,15.333333333333334,22.666666666666668,0.6666666666666666,5023,2024,2,2
Escola,Escola,17.5,5.0,1.0,1702,1001,1,2
Residência,Residência,22.5,19.0,1.3333333333333333,1001,1702,2,2
Trabalho,Trabalho,4.5,13.0,2.5,2033,1701,1,2
Residência,Residência,17.5,11.0,1.5833333333333333,1701,2033,2,2
Residência,Residência,7.0,4.5,0.6666666666666666,2034,2033,1,3
Outros,Secundário,11.5,1.3333333333333333,1.0,2033,2003,2,3
Residência,Residência,12.833333333333334,18.166666666666668,1.1666666666666667,2003,2033,3,3
Trabalho,Trabalho,7.333333333333333,10.666666666666666,1.1666666666666667,18010,1624,1,2
Residência,Residência,18.0,13.333333333333334,1.9666666666666663,1624,18010,2,2
Trabalho,Trabalho,7.0,10.833333333333334,0.4166666666666667,2024,2029,1,2
Residência,Residência,17.833333333333332,13.166666666666666,0.6666666666666666,2029,2024,2,2
Trabalho,Trabalho,4.666666666666667,9.333333333333334,1.9166666666666667,2024,1007,1,2
Residência,Residência,14.0,14.666666666666666,2.083333333333333,1007,2024,2,2
Negócios,Secundário,14.0,3.033333333333333,1.5833333333333333,2051,1530,1,2
Negócios,Secundário,17.033333333333335,11.966666666666669,1.55,1530,2051,2,2
Trabalho,Trabalho,5.0,14.0,1.6666666666666667,2051,1024,1,2
Residência,Residência,19.0,10.0,1.9166666666666667,1024,2051,2,2
Saúde,Secundário,8.0,3.5,0.5,2051,2033,1,2
Residência,Residência,11.5,20.5,0.25,2033,2051,2,2
Trabalho,Trabalho,5.833333333333333,13.166666666666666,0.8333333333333334,2051,2001,1,2
Residência,Residência,19.0,10.5,0.5833333333333334,2001,2051,2,2
Trabalho,Trabalho,5.5,9.5,1.5,2068,1615,1,2
Residência,Residência,15.0,14.5,1.55,1615,2068,2,2
Trabalho,Trabalho,5.666666666666667,12.333333333333334,2.0,2068,1604,1,2
Residência,Residência,18.0,11.666666666666666,1.75,1604,2068,2,2
Trabalho,Trabalho,5.75,11.416666666666666,1.0,2007,2036,1,2
Residência,Residência,17.166666666666668,12.583333333333334,1.1666666666666667,2036,2007,2,2
Trabalho,Trabalho,6.5,10.5,1.8333333333333333,2007,5317,1,2
